,run,irrelevant_matches_round_34,irrelevant_matches_round_35,irrelevant_matches_round_36,irrelevant_matches_round_37,irrelevant_matches_round_38,highly_relevant_matches_round_34,highly_relevant_matches_round_35,highly_relevant_matches_round_36,highly_relevant_matches_round_37,highly_relevant_matches_round_38,partially_relevant_matches_round_34,partially_relevant_matches_round_35,partially_relevant_matches_round_36,partially_relevant_matches_round_37,partially_relevant_matches_round_38
886,886,1,2,2,5,5,6,3,0,1,0,3,5,8,4,5
887,887,0,0,1,2,3,9,5,3,2,2,1,5,6,6,5
888,888,2,0,1,3,6,7,3,2,2,1,1,7,7,5,3
889,889,0,1,4,6,8,6,3,2,0,0,4,6,4,4,2
890,890,1,4,7,8,10,4,3,0,0,0,5,3,3,2,0
891,891,1,1,5,7,8,7,2,2,1,0,2,7,3,2,2
892,892,0,1,2,4,5,9,6,2,1,0,1,3,6,5,5
893,893,1,3,3,7,7,6,2,0,0,0,3,5,7,3,3
894,894,0,1,3,6,6,7,6,0,1,0,3,3,7,3,4
895,895,1,4,6,8,8,3,3,1,0,0,6,3,3,2,2
896,896,0,1,3,5,4,9,2,1,3,1,1,7,6,2,5
897,897,0,2,4,3,7,7,6,3,0,0,3,2,3,7,3
898,898,1,0,3,6,8,5,2,2,0,0,4,8,5,4,2
899,899,0,2,3,3,7,4,3,2,1,1,6,5,5,6,2
900,900,0,1,4,4,5,6,4,0,0,0,4,5,6,6,5
901,901,0,1,0,4,8,8,6,3,1,0,2,3,7,5,2
902,902,0,3,2,6,8,6,4,3,0,0,4,3,5,4,2
903,903,1,2,7,8,7,5,3,1,1,0,4,5,2,1,3
904,904,0,0,1,3,4,8,8,7,5,1,2,2,2,2,5
905,905,1,1,1,5,7,6,2,2,1,0,3,7,7,4,3
906,906,0,1,1,3,6,6,4,2,0,0,4,5,7,7,4
907,907,1,1,4,4,8,3,0,2,1,0,6,9,4,5,2
908,908,0,4,5,8,10,1,3,0,0,0,9,3,5,2,0
909,909,0,1,1,4,9,5,5,4,4,1,5,4,5,2,0
910,910,0,1,2,4,8,8,5,5,1,0,2,4,3,5,2
911,911,0,1,2,1,5,6,4,5,2,3,4,5,3,7,2
912,912,1,2,5,5,7,6,1,4,1,0,3,7,1,4,3
913,913,1,3,5,6,10,5,2,1,0,0,4,5,4,4,0
914,914,5,4,4,8,8,3,1,0,0,0,2,5,6,2,2
915,915,0,3,3,7,7,5,3,2,0,0,5,4,5,3,3
916,916,1,1,3,6,8,5,4,1,0,1,4,5,6,4,1
917,917,1,3,4,3,6,7,6,3,1,0,2,1,3,6,4
918,918,1,0,2,5,10,6,3,1,0,0,3,7,7,5,0
919,919,0,2,4,2,5,6,5,3,1,0,4,3,3,7,5
920,920,0,2,4,5,10,6,4,2,0,0,4,4,4,5,0
921,921,2,2,2,7,8,7,1,0,0,0,1,7,8,3,2
922,922,0,4,7,7,10,6,2,1,0,0,4,4,2,3,0
923,923,2,2,3,4,5,6,3,3,2,0,2,5,4,4,5
924,924,0,0,1,7,8,8,5,4,0,1,2,5,5,3,1
925,925,0,1,3,4,7,6,5,3,2,1,4,4,4,4,2
926,926,0,1,0,2,1,6,5,4,4,3,4,4,6,4,6
927,927,3,4,5,7,7,4,2,1,0,0,3,4,4,3,3
928,928,1,1,4,4,5,4,2,1,1,0,5,7,5,5,5
929,929,0,2,2,4,7,6,7,2,1,1,4,1,6,5,2
930,930,1,1,4,5,9,7,5,2,1,1,2,4,4,4,0
931,931,0,1,3,3,8,8,5,4,0,0,2,4,3,7,2
932,932,0,0,0,1,2,5,3,2,2,0,5,7,8,7,8
933,933,1,3,6,8,10,4,2,1,0,0,5,5,3,2,0
934,934,3,3,5,6,9,2,0,0,0,1,5,7,5,4,0
935,935,2,3,6,8,10,4,0,0,0,0,4,7,4,2,0
936,936,0,2,3,6,8,8,3,2,1,0,2,5,5,3,2
937,937,0,0,1,3,3,6,5,4,2,1,4,5,5,5,6
938,938,0,1,3,6,7,8,4,0,1,1,2,5,7,3,2
939,939,0,3,7,8,10,5,3,1,0,0,5,4,2,2,0
940,940,2,1,2,8,8,4,2,2,0,0,4,7,6,2,2
941,941,0,0,1,2,5,8,5,4,2,0,2,5,5,6,5
942,942,0,1,3,3,6,5,4,0,0,1,5,5,7,7,3
943,943,1,3,4,6,7,7,3,0,0,0,2,4,6,4,3
944,944,2,1,3,4,8,6,1,2,1,0,2,8,5,5,2
945,945,2,3,5,8,10,4,2,0,0,0,4,5,5,2,0
946,946,0,0,4,5,6,9,7,3,1,0,1,3,3,4,4
947,947,0,0,3,4,8,3,2,2,1,0,7,8,5,5,2
948,948,0,0,3,6,4,5,1,2,2,0,5,9,5,2,6
949,949,0,1,8,8,8,4,3,0,0,0,6,6,2,2,2
950,950,0,2,2,3,10,5,2,1,1,0,5,6,7,6,0
951,951,2,1,3,4,7,4,1,3,3,0,4,8,4,3,3
952,952,2,3,6,7,10,3,1,0,0,0,5,6,4,3,0
953,953,2,0,1,5,6,7,4,2,2,0,1,6,7,3,4
954,954,1,2,3,4,8,5,3,2,1,0,4,5,5,5,2
955,955,2,1,5,7,10,5,1,2,0,0,3,8,3,3,0
956,956,0,0,0,2,5,8,8,5,4,1,2,2,5,4,4
957,957,2,2,4,6,10,5,4,2,1,0,3,4,4,3,0
958,958,1,1,4,3,5,5,3,4,2,0,4,6,2,5,5
959,959,0,5,7,10,10,4,3,2,0,0,6,2,1,0,0
960,960,0,0,2,3,7,10,7,5,0,1,0,3,3,7,2
961,961,0,1,5,5,8,6,3,1,0,0,4,6,4,5,2
962,962,3,6,8,8,10,3,1,0,0,0,4,3,2,2,0
963,963,1,1,3,6,8,6,3,2,0,0,3,6,5,4,2
964,964,0,4,2,5,6,6,4,2,2,1,4,2,6,3,3
965,965,1,2,3,4,10,7,3,2,0,0,2,5,5,6,0
966,966,0,2,6,6,8,7,5,0,0,0,3,3,4,4,2
967,967,1,1,2,5,6,7,6,1,1,0,2,3,7,4,4
968,968,0,0,3,7,8,9,5,2,1,0,1,5,5,2,2
969,969,0,1,1,4,3,9,7,4,2,1,1,2,5,4,6
970,970,0,0,3,4,7,5,2,4,0,1,5,8,3,6,2
971,971,0,1,3,7,7,8,5,2,2,0,2,4,5,1,3
972,972,1,2,4,5,10,3,2,3,1,0,6,6,3,4,0
973,973,3,3,4,6,6,3,1,1,1,0,4,6,5,3,4
974,974,2,2,5,5,8,3,3,1,0,0,5,5,4,5,2
975,975,3,5,8,10,10,1,0,0,0,0,6,5,2,0,0
976,976,0,5,5,7,9,4,1,1,0,1,6,4,4,3,0
977,977,1,2,2,4,4,6,5,5,3,2,3,3,3,3,4
978,978,2,3,5,10,10,6,3,1,0,0,2,4,4,0,0
979,979,2,2,5,7,8,4,2,2,1,1,4,6,3,2,1
980,980,1,2,4,5,6,5,2,1,2,1,4,6,5,3,3
981,981,1,3,4,5,8,3,1,1,1,1,6,6,5,4,1
982,982,0,0,1,2,4,8,5,4,0,1,2,5,5,8,5
983,983,2,3,5,7,7,3,1,2,0,0,5,6,3,3,3
984,984,0,1,4,6,8,7,3,3,1,1,3,6,3,3,1
985,985,0,1,4,8,8,4,2,2,0,0,6,7,4,2,2
986,986,1,2,5,8,10,2,0,1,0,0,7,8,4,2,0
987,987,0,1,5,6,8,7,4,0,0,0,3,5,5,4,2
988,988,0,0,1,4,4,8,8,7,2,0,2,2,2,4,6
989,989,0,2,2,6,7,5,2,1,0,0,5,6,7,4,3
990,990,0,1,1,5,6,10,4,2,1,0,0,5,7,4,4
991,991,1,1,5,4,10,7,4,2,0,0,2,5,3,6,0
992,992,1,1,1,3,4,7,4,3,3,2,2,5,6,4,4
993,993,0,0,1,3,4,7,5,5,3,1,3,5,4,4,5
994,994,1,1,2,6,5,6,3,1,1,0,3,6,7,3,5
995,995,2,1,2,4,4,6,4,2,2,2,2,5,6,4,4
996,996,0,1,0,2,2,7,7,5,6,2,3,2,5,2,6
997,997,0,1,4,4,5,5,1,2,1,2,5,8,4,5,3
998,998,0,1,1,3,6,8,4,4,1,0,2,5,5,6,4
999,999,0,0,2,0,3,10,8,6,4,2,0,2,2,6,5
